metric,full_name,old_name,definition
ADI,Always-wrong Display Inconsistency,Unstable-Wrong,Predictions differ across layouts and none of the layouts is correct.
Acc,Accuracy,,"Overall row-level or grouped-layout average accuracy, depending on evaluator."
Acc_12R1C,12R1C Layout Accuracy,,Accuracy on the 12R1C ECG display layout.
Acc_3R4C,3R4C Layout Accuracy,,Accuracy on the 3R4C ECG display layout.
Acc_6R2C,6R2C Layout Accuracy,,Accuracy on the 6R2C ECG display layout.
Accuracy_12R1C,12R1C Layout Accuracy,,Accuracy on the 12R1C ECG display layout.
Accuracy_3R4C,3R4C Layout Accuracy,,Accuracy on the 3R4C ECG display layout.
Accuracy_6R2C,6R2C Layout Accuracy,,Accuracy on the 6R2C ECG display layout.
BalAcc_12R1C,12R1C Layout Balanced Accuracy,,Balanced accuracy on the 12R1C ECG display layout.
BalAcc_3R4C,3R4C Layout Balanced Accuracy,,Balanced accuracy on the 3R4C ECG display layout.
BalAcc_6R2C,6R2C Layout Balanced Accuracy,,Balanced accuracy on the 6R2C ECG display layout.
CDI,Correctable Display Inconsistency,Recoverable Flip,Predictions differ across layouts and at least one layout is correct.
DCC,Display-Consistent Correct,Stable-Correct,All layouts give the same prediction and that prediction is correct.
DCE,Display-Consistent Error,Stable-Wrong,All layouts give the same prediction but that prediction is wrong.
DI,Display Inconsistency,Flip Rate,Fraction of valid grouped samples where predictions are not identical across layouts.
Layout Agreement,Layout Agreement,,Fraction of valid groups where all layout predictions are identical; DCC + DCE.
MacroF1_12R1C,12R1C Layout Macro F1,,Macro-F1 on the 12R1C ECG display layout.
MacroF1_3R4C,3R4C Layout Macro F1,,Macro-F1 on the 3R4C ECG display layout.
MacroF1_6R2C,6R2C Layout Macro F1,,Macro-F1 on the 6R2C ECG display layout.
Oracle Acc,Oracle-layout Accuracy,,Grouped sample is correct if any layout prediction is correct.
Oracle_Acc,Oracle-layout Accuracy,,Grouped sample is correct if any layout prediction is correct.
Worst Acc,Worst-layout Accuracy,,"Minimum layout-specific accuracy across 3R4C, 6R2C, and 12R1C."
Worst_Acc,Worst-layout Accuracy,,"Minimum layout-specific accuracy across 3R4C, 6R2C, and 12R1C."
accuracy,Accuracy,,Overall accuracy reported by the evaluator.
anchor_margin_chunk_bind_rows,anchor_margin_chunk_bind_rows,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
balanced_accuracy,Balanced Accuracy,,Macro-average of per-class recall.
bind_eligible_fraction,bind_eligible_fraction,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
bind_eligible_rows,bind_eligible_rows,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
code15_test_f1,CODE-15 Test F1,,F1 score on official ECG-Bench CODE-15 subset.
completed_steps,Completed Optimizer Steps,,"Training-log metadata, not an evaluation metric."
consistent_correct,consistent_correct,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
cpsc_test_f1,CPSC Test F1,,F1 score on official ECG-Bench CPSC subset.
csn_test_acc,CSN Test Accuracy,,Accuracy on official ECG-Bench CSN subset.
ecgqa_test_acc,ECG-QA Test Accuracy,,Accuracy on official ECG-Bench ECG-QA subset.
effective_global_batch,Effective Global Batch,,"Training-log metadata, not an evaluation metric."
f1,f1,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
fraction,fraction,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
g12_test_acc,G12EC Test Accuracy,,Accuracy on official ECG-Bench G12EC subset.
global_step,global_step,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
gradient_accumulation_steps,gradient_accumulation_steps,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
groups_valid,Valid Layout Groups,,Number of grouped samples with valid predictions for all layouts.
layout_rows_per_group,Layout Rows per Group,,"Training-log metadata, not an evaluation metric."
macro_f1,Macro F1,,Unweighted average F1 across classes.
mean,Mean Score,,Mean over reported broad ECG-Bench subset metrics.
num_train_epochs,Number of Training Epochs,,"Training-log metadata, not an evaluation metric."
oracle,Oracle-layout Accuracy,,Grouped sample is correct if any layout prediction is correct.
parse_rate,Parse Success Rate,,Fraction of predictions successfully parsed into a valid answer.
parse_success,parse_success,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
per_device_train_batch_size,per_device_train_batch_size,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
ptb_test_f1,PTB Test F1,,F1 score on official ECG-Bench PTB subset.
pure_lora_trainable_params,Pure LoRA Trainable Parameters,,"Training-log metadata, not an evaluation metric."
rows,rows,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
rows_per_sec_effective,rows_per_sec_effective,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
runtime_hr,Training Runtime Hours,,"Training-log metadata, not an evaluation metric."
samples_per_sec,Samples per Second,,"Training-log metadata, not an evaluation metric."
steps_per_sec,Steps per Second,,"Training-log metadata, not an evaluation metric."
total_params,Total Parameters,,"Training-log metadata, not an evaluation metric."
total_steps,Total Optimizer Steps,,"Training-log metadata, not an evaluation metric."
train_groups,Training Groups,,"Training-log metadata, not an evaluation metric."
train_loss,Train Loss,,"Training-log metadata, not an evaluation metric."
train_rows,Training Rows,,"Training-log metadata, not an evaluation metric."
trainable_percent,Trainable Percent,,"Training-log metadata, not an evaluation metric."
valid_groups,Valid Layout Groups,,Number of grouped samples with valid predictions for all layouts.
world_size,World Size,,"Training-log metadata, not an evaluation metric."
worst_layout_accuracy,worst_layout_accuracy,,Metric name preserved from source evaluator/log; no additional project-specific definition registered.
