canonical_model,ADI,Acc,Acc_12R1C,Acc_3R4C,Acc_6R2C,BalAcc_12R1C,BalAcc_3R4C,BalAcc_6R2C,CDI,DCC,DCE,DI,Layout Agreement,MacroF1_12R1C,MacroF1_3R4C,MacroF1_6R2C,Oracle Acc,Oracle_Acc,Worst Acc,Worst_Acc,accuracy,balanced_accuracy,code15_test_f1,consistent_correct,cpsc_test_f1,csn_test_acc,ecgqa_test_acc,g12_test_acc,groups_valid,macro_f1,mean,parse_rate,parse_success,ptb_test_f1,worst_layout_accuracy
GEM,,,,,,,,,,,,,,,,,,,,,,,0.848,,0.52,0.926,0.71,0.818,,,,,,0.736,
Reproduced GEM,,,,,,,,,,,,,,,,,,,,,,,0.8500934692979705,,0.4612188187329121,0.9292364990689012,0.6818526955201215,0.8183613030602171,,,0.7457030554082813,,,0.7334555467695654,
GEM (SFT PULSE-7B),,,,,,,,,,,,,,,,,,,,,,,0.864,,0.611,0.862,0.736,0.805,,,,,,0.758,
PULSE,,,,,,,,,,,,,,,,,,,,,,,0.854,,0.576,0.852,0.738,0.782,,,,,,0.748,
CL-SL-SFT,,,,,,,,,,,,,,,,,,,,,,,0.8472680065200533,,0.5226053966886108,0.9193047796399751,0.6962794229309036,0.8149062191510366,,,,,,0.7290842971973256,
CL-TL-Subset-SFT,,,,,,,,,,,,,,,,,,,,,,,0.8245702104742161,,0.5196901549755304,0.8429546865301055,0.6583143507972665,0.7309970384995064,,,,,,0.7018613886081004,
GL-SL-LoRA-1%,,,,,,,,,,,,,,,,,,,,,,,0.8574421127269233,,0.6069677513379502,0.861576660459342,0.7350037965072134,0.8035538005923001,,,0.7702017360684944,,,0.7566662947872376,
GL-TL-LoRA-1%,,,,,,,,,,,,,,,,,,,,,,,0.8572079921539428,,0.6097219466204477,0.8603351955307262,0.7342444950645406,0.8020730503455084,,,0.7700978429546428,,,0.7570043780126914,
TM-TL-LoRA-1%,,,,,,,,,,,,,,,,,,,,,,,0.852924185353756,,0.6038535842235001,0.8621973929236499,0.7380410022779044,0.8020730503455084,,,0.7690930720878949,,,0.7554692174030503,
GL-SL-LoRA-3%,,,,,,,,,,,,,,,,,,,,,,,0.8559704940198931,,0.6099875915652295,0.8609559279950342,0.7342444950645406,0.8025666337611056,,,0.7701560442888198,,,0.757211123327116,
GL-TL-LoRA-3%,,,,,,,,,,,,,,,,,,,,,,,0.8566661463421377,,0.6112691134401793,0.861576660459342,0.7365223993925588,0.8025666337611056,,,0.7709570753242271,,,0.7571414985500395,
GL-SL-LoRA-5%,,,,,,,,,,,,,,,,,,,,,,,0.8556143854722945,,0.6065130015246593,0.8609559279950342,0.7342444950645406,0.8035538005923001,,,0.7695575322541398,,,0.7564635828760107,
GL-TL-LoRA-5%,,,,,,,,,,,,,,,,,,,,,,,0.8559849783744633,,0.6155995425528237,0.8609559279950342,0.7350037965072134,0.8005923000987167,,,0.7710705588506218,,,0.7582868075754802,
TM-TL-LoRA-5%,,,,,,,,,,,,,,,,,,,,,,,0.8539389718459978,,0.5980790719971918,0.8597144630664184,0.7380410022779044,0.8020730503455084,,,0.7679341783639565,,,0.755758510650719,
P4-LoRA,,,,,,,,,,,,,,,,,,,,,,,0.8341156302930657,,0.5793606253580426,0.8013656114214773,0.7107061503416856,0.7773938795656465,,,,,,0.6974591695777621,
P4-LayoutBind,,,,,,,,,,,,,,,,,,,,,,,0.834710703044898,,0.5706045328328113,0.7920546244568591,0.7069096431283219,0.7744323790720632,,,,,,0.694241103660196,
